File;Place;Id;Night_Date;Date_Time;Date;Year;Month;Week;Day;Time;Hour;Minute
BST-1_20180625_001555_485.wav;BST-1;Plesp;2018-06-24;2018-06-25 00:15;2018-06-25;2018;6;25;25;00:15;0;15
BST-1_20180609_034947_123.wav;BST-1;Plesp;2018-06-08;2018-06-09 03:49;2018-06-09;2018;6;23;9;03:49;3;49
BST-1_20180628_013759_363.wav;BST-1;Plesp;2018-06-27;2018-06-28 01:37;2018-06-28;2018;6;26;28;01:37;1;37
BST-1_20180720_012105_890.wav;BST-1;Barbar;2018-07-19;2018-07-20 01:21;2018-07-20;2018;7;29;20;01:21;1;21
BST-1_20180721_234918_664.wav;BST-1;Barbar;2018-07-21;2018-07-21 23:49;2018-07-21;2018;7;29;21;23:49;23;49
BST-1_20180730_231441_907.wav;BST-1;Barbar;2018-07-30;2018-07-30 23:14;2018-07-30;2018;7;31;30;23:14;23;14
BST-1_20180714_230627_143.wav;BST-1;Barbar;2018-07-14;2018-07-14 23:06;2018-07-14;2018;7;28;14;23:06;23;6
BST-1_20180702_044638_822.wav;BST-1;Pipkuh/Pipnat;2018-07-01;2018-07-02 04:46;2018-07-02;2018;7;26;2;04:46;4;46
BST-1_20180702_223758_525.wav;BST-1;Nycnoc/Nyclei;2018-07-02;2018-07-02 22:37;2018-07-02;2018;7;27;2;22:37;22;37
BST-1_20180719_012023_307.wav;BST-1;Nycnoc/Nyclei;2018-07-18;2018-07-19 01:20;2018-07-19;2018;7;29;19;01:20;1;20
BST-1_20180719_015054_715.wav;BST-1;Sérotules;2018-07-18;2018-07-19 01:50;2018-07-19;2018;7;29;19;01:50;1;50
BST-1_20180731_012003_439.wav;BST-1;Sérotules;2018-07-30;2018-07-31 01:20;2018-07-31;2018;7;31;31;01:20;1;20
BST-1_20180702_021247_215.wav;BST-1;ChiroSp;2018-07-01;2018-07-02 02:12;2018-07-02;2018;7;26;2;02:12;2;12
BST-1_20180702_023211_993.wav;BST-1;Pipnat/Pippip;2018-07-01;2018-07-02 02:32;2018-07-02;2018;7;26;2;02:32;2;32
BST-1_20180702_024613_411.wav;BST-1;ChiroSp;2018-07-01;2018-07-02 02:46;2018-07-02;2018;7;26;2;02:46;2;46
BST-1_20180702_025444_498.wav;BST-1;ChiroSp;2018-07-01;2018-07-02 02:54;2018-07-02;2018;7;26;2;02:54;2;54
BST-1_20180702_030119_894.wav;BST-1;ChiroSp;2018-07-01;2018-07-02 03:01;2018-07-02;2018;7;26;2;03:01;3;1
BST-1_20180702_042850_291.wav;BST-1;ChiroSp;2018-07-01;2018-07-02 04:28;2018-07-02;2018;7;26;2;04:28;4;28
BST-1_20180702_232116_539.wav;BST-1;ChiroSp;2018-07-02;2018-07-02 23:21;2018-07-02;2018;7;27;2;23:21;23;21
BST-1_20180703_001247_660.wav;BST-1;ChiroSp;2018-07-02;2018-07-03 00:12;2018-07-03;2018;7;27;3;00:12;0;12
BST-1_20180703_003645_649.wav;BST-1;ChiroSp;2018-07-02;2018-07-03 00:36;2018-07-03;2018;7;27;3;00:36;0;36
BST-1_20180703_010820_136.wav;BST-1;ChiroSp;2018-07-02;2018-07-03 01:08;2018-07-03;2018;7;27;3;01:08;1;8
BST-1_20180703_010907_367.wav;BST-1;ChiroSp;2018-07-02;2018-07-03 01:09;2018-07-03;2018;7;27;3;01:09;1;9
BST-1_20180703_011457_801.wav;BST-1;ChiroSp;2018-07-02;2018-07-03 01:14;2018-07-03;2018;7;27;3;01:14;1;14
BST-1_20180703_020912_808.wav;BST-1;ChiroSp;2018-07-02;2018-07-03 02:09;2018-07-03;2018;7;27;3;02:09;2;9
BST-1_20180703_025952_845.wav;BST-1;Nycnoc/Nyclei;2018-07-02;2018-07-03 02:59;2018-07-03;2018;7;27;3;02:59;2;59
BST-1_20180703_040548_032.wav;BST-1;ChiroSp;2018-07-02;2018-07-03 04:05;2018-07-03;2018;7;27;3;04:05;4;5
BST-1_20180703_040645_547.wav;BST-1;ChiroSp;2018-07-02;2018-07-03 04:06;2018-07-03;2018;7;27;3;04:06;4;6
BST-1_20180703_041550_557.wav;BST-1;ChiroSp;2018-07-02;2018-07-03 04:15;2018-07-03;2018;7;27;3;04:15;4;15
BST-1_20180703_234254_871.wav;BST-1;ChiroSp;2018-07-03;2018-07-03 23:42;2018-07-03;2018;7;27;3;23:42;23;42
BST-1_20180704_004215_568.wav;BST-1;ChiroSp;2018-07-03;2018-07-04 00:42;2018-07-04;2018;7;27;4;00:42;0;42
BST-1_20180704_004822_529.wav;BST-1;Pipnat/Pippip;2018-07-03;2018-07-04 00:48;2018-07-04;2018;7;27;4;00:48;0;48
BST-1_20180704_021810_674.wav;BST-1;ChiroSp;2018-07-03;2018-07-04 02:18;2018-07-04;2018;7;27;4;02:18;2;18
BST-1_20180704_034559_541.wav;BST-1;ChiroSp;2018-07-03;2018-07-04 03:45;2018-07-04;2018;7;27;4;03:45;3;45
BST-1_20180704_040728_583.wav;BST-1;ChiroSp;2018-07-03;2018-07-04 04:07;2018-07-04;2018;7;27;4;04:07;4;7
BST-1_20180704_233948_701.wav;BST-1;ChiroSp;2018-07-04;2018-07-04 23:39;2018-07-04;2018;7;27;4;23:39;23;39
BST-1_20180704_234436_319.wav;BST-1;ChiroSp;2018-07-04;2018-07-04 23:44;2018-07-04;2018;7;27;4;23:44;23;44
BST-1_20180704_234457_385.wav;BST-1;ChiroSp;2018-07-04;2018-07-04 23:44;2018-07-04;2018;7;27;4;23:44;23;44
BST-1_20180704_235205_000.wav;BST-1;ChiroSp;2018-07-04;2018-07-04 23:52;2018-07-04;2018;7;27;4;23:52;23;52
BST-1_20180705_000904_325.wav;BST-1;ChiroSp;2018-07-04;2018-07-05 00:09;2018-07-05;2018;7;27;5;00:09;0;9
BST-1_20180705_002623_661.wav;BST-1;ChiroSp;2018-07-04;2018-07-05 00:26;2018-07-05;2018;7;27;5;00:26;0;26
BST-1_20180705_003220_525.wav;BST-1;ChiroSp;2018-07-04;2018-07-05 00:32;2018-07-05;2018;7;27;5;00:32;0;32
BST-1_20180705_012235_901.wav;BST-1;ChiroSp;2018-07-04;2018-07-05 01:22;2018-07-05;2018;7;27;5;01:22;1;22
BST-1_20180705_020930_023.wav;BST-1;ChiroSp;2018-07-04;2018-07-05 02:09;2018-07-05;2018;7;27;5;02:09;2;9
