Site;File;Id;Contact;Group;IGp;Species;ISp;Year;Month;Day;Hour;Minute;Date;Time;Night_Date
BST-1;BST-1_20180611_225345_625.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;53;2018-06-11;22:53;2018-06-11
BST-1;BST-1_20180610_221930_664.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;19;2018-06-10;22:19;2018-06-10
BST-1;BST-1_20180610_222231_452.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;22;2018-06-10;22:22;2018-06-10
BST-1;BST-1_20180610_222508_794.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;25;2018-06-10;22:25;2018-06-10
BST-1;BST-1_20180610_222912_652.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;29;2018-06-10;22:29;2018-06-10
BST-1;BST-1_20180610_222918_488.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;29;2018-06-10;22:29;2018-06-10
BST-1;BST-1_20180610_222936_263.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;29;2018-06-10;22:29;2018-06-10
BST-1;BST-1_20180610_223134_372.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;31;2018-06-10;22:31;2018-06-10
BST-1;BST-1_20180610_223139_372.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;31;2018-06-10;22:31;2018-06-10
BST-1;BST-1_20180610_223147_815.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;31;2018-06-10;22:31;2018-06-10
BST-1;BST-1_20180610_223152_815.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;31;2018-06-10;22:31;2018-06-10
BST-1;BST-1_20180610_223204_242.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;32;2018-06-10;22:32;2018-06-10
BST-1;BST-1_20180610_223747_213.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;22;37;2018-06-10;22:37;2018-06-10
BST-1;BST-1_20180610_231548_520.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;10;23;15;2018-06-10;23:15;2018-06-10
BST-1;BST-1_20180611_011519_099.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;1;15;2018-06-11;01:15;2018-06-10
BST-1;BST-1_20180611_012631_297.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;1;26;2018-06-11;01:26;2018-06-10
BST-1;BST-1_20180611_040156_352.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;4;1;2018-06-11;04:01;2018-06-10
BST-1;BST-1_20180611_221559_363.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;15;2018-06-11;22:15;2018-06-11
BST-1;BST-1_20180611_222126_010.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;21;2018-06-11;22:21;2018-06-11
BST-1;BST-1_20180611_222734_265.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;27;2018-06-11;22:27;2018-06-11
BST-1;BST-1_20180611_222739_265.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;27;2018-06-11;22:27;2018-06-11
BST-1;BST-1_20180611_222744_265.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;27;2018-06-11;22:27;2018-06-11
BST-1;BST-1_20180611_222749_265.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;27;2018-06-11;22:27;2018-06-11
BST-1;BST-1_20180611_222809_493.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;28;2018-06-11;22:28;2018-06-11
BST-1;BST-1_20180611_223109_275.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;31;2018-06-11;22:31;2018-06-11
BST-1;BST-1_20180611_223339_275.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;33;2018-06-11;22:33;2018-06-11
BST-1;BST-1_20180611_223344_275.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;33;2018-06-11;22:33;2018-06-11
BST-1;BST-1_20180611_223930_195.wav;PippiT;Secondary;PipMi;10;PippiT;10;2018;6;11;22;39;2018-06-11;22:39;2018-06-11
BST-1;BST-1_20180611_224224_527.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;42;2018-06-11;22:42;2018-06-11
BST-1;BST-1_20180611_224229_527.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;42;2018-06-11;22:42;2018-06-11
BST-1;BST-1_20180611_224328_617.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;43;2018-06-11;22:43;2018-06-11
BST-1;BST-1_20180611_224335_496.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;43;2018-06-11;22:43;2018-06-11
BST-1;BST-1_20180611_224556_904.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;45;2018-06-11;22:45;2018-06-11
BST-1;BST-1_20180611_224601_904.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;22;46;2018-06-11;22:46;2018-06-11
BST-1;BST-1_20180611_230534_377.wav;PippiT;Main;PipMi;10;PippiT;10;2018;6;11;23;5;2018-06-11;23:05;2018-06-11
