"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213804_000";"0.0";1.0;157.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213807_000";0.1;2.0;58.0;"Yposp";0.03;"Tetvir, Phogri";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213807_000";"0.0";2.1;60.0;"noise";0.88;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214014_000";"0.0";4.1;125.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214024_000";0.2;0.7;137.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214037_000";"0.0";2.1;80.0;"noise";0.93;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214217_000";"0.0";5.0;104.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214217_000";1.8;4.5;24.0;"Plaint";0.03;"Tetvir, Phogri";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214222_000";"0.0";5.0;97.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214227_000";0.2;5.0;96.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214227_000";0.7;4.2;22.0;"Tetvir";0.02;"Plaint, Plaalb, Phogri, Yposp, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Rhasp, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plafal, Plaaff, Pippyg, Pippip, Pipnat, Pipkuh, piaf, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myogla, Myocap, Myobec, Myoalc, Mussp, Minsch, Mimasp, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, Antsp, amph";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214232_000";"0.0";5.0;112.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214237_000";0.4;4.1;96.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214242_000";0.3;1.0;132.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214244_000";0.1;5.0;106.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214249_000";"0.0";5.0;107.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214254_000";0.1;5.0;106.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214259_000";"0.0";5.0;96.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214304_000";"0.0";2.0;111.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214320_000";"0.0";3.6;91.0;"noise";0.94;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214333_000";"0.0";5.0;99.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214338_000";1.2;4.5;125.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214347_000";0.4;2.3;102.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214351_000";0.3;4.9;129.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214356_000";"0.0";5.0;146.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214401_000";"0.0";5.0;124.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214406_000";"0.0";5.0;110.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214411_000";"0.0";3.5;110.0;"noise";0.96;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214415_000";"0.0";2.1;95.0;"noise";0.95;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214428_000";"0.0";5.0;175.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214428_000";3.9;4.0;62.0;"Phogri";0.05;"Tetvir";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214433_000";"0.0";5.0;172.0;"noise";0.95;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214438_000";"0.0";5.0;113.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214443_000";"0.0";1.1;105.0;"noise";0.93;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214456_000";0.3;3.7;136.0;"noise";0.96;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214459_000";"0.0";0.7;121.0;"noise";0.95;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214510_000";"0.0";2.1;98.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214519_000";0.2;0.6;140.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214746_000";"0.0";4.4;113.0;"noise";0.95;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214807_000";0.1;3.5;108.0;"noise";0.95;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214816_000";0.1;4.5;81.0;"noise";0.95;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214816_000";3.1;4.5;22.0;"Phogri";0.03;"Tetvir, Plaint, Antsp";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214821_000";"0.0";4.4;101.0;"noise";0.95;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214848_000";"0.0";5.0;157.0;"noise";0.96;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214853_000";"0.0";5.0;155.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214858_000";"0.0";0.1;99.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214859_000";"0.0";3.5;106.0;"noise";0.96;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214907_000";0.1;3.6;92.0;"noise";0.96;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214915_000";"0.0";4.4;105.0;"noise";0.96;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214925_000";0.1;5.0;104.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214930_000";"0.0";0.2;110.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214935_000";"0.0";5.0;96.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214940_000";"0.0";5.0;166.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214945_000";"0.0";5.0;168.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214950_000";"0.0";5.0;146.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_214955_000";"0.0";5.0;160.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215000_000";"0.0";0.1;134.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215005_000";"0.0";5.0;173.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215005_000";2.3;2.4;19.0;"Tyllil";0.02;"Tetvir, Phogri, Yposp, Yerray, Yerbey, Vesmur, Urosp, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Rhasp, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pippip, Pipnat, Pipkuh, piaf, Phofem, Phanan, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myogla, Myocap, Myobec, Myoalc, Mussp, Minsch, Mimasp, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, Antsp, amph";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215010_000";"0.0";5.0;119.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215015_000";"0.0";5.0;157.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215020_000";"0.0";4.9;153.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215025_000";"0.0";5.0;155.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215030_000";"0.0";0.1;153.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215035_000";"0.0";4.9;161.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215040_000";0.1;5.0;153.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215045_000";"0.0";5.0;168.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215050_000";"0.0";5.0;147.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215055_000";"0.0";5.0;138.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215100_000";"0.0";0.1;162.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215105_000";"0.0";5.0;102.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215110_000";"0.0";5.0;106.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215115_000";"0.0";5.0;96.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215120_000";"0.0";5.0;132.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215125_000";1.3;4.3;62.0;"Pippip";0.03;"Tetvir";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215125_000";"0.0";5.0;129.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215130_000";"0.0";0.1;126.0;"noise";0.9;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215131_000";"0.0";5.0;129.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215136_000";"0.0";5.0;96.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215141_000";"0.0";5.0;108.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215141_000";0.3;1.9;22.0;"Plaint";0.03;"Phogri, Tetvir";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215146_000";"0.0";5.0;104.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215151_000";"0.0";5.0;97.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215156_000";"0.0";5.0;96.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215201_000";"0.0";0.1;156.0;"noise";0.96;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215206_000";"0.0";5.0;169.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215211_000";"0.0";5.0;103.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215216_000";"0.0";5.0;174.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215221_000";"0.0";5.0;92.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215226_000";"0.0";5.0;94.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215231_000";"0.0";0.1;72.0;"noise";0.95;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215248_000";"0.0";5.0;174.0;"noise";0.96;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215253_000";"0.0";5.0;174.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215253_000";1.9;2.7;19.0;"Phanan";0.03;"Tetvir, Pippip, Phogri";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215258_000";"0.0";5.0;174.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215258_000";0.4;0.6;19.0;"Phanan";0.03;"Tetvir, Phogri";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215303_000";"0.0";5.0;174.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_215308_000";"0.0";5.0;174.0;"noise";0.98;"";"";"";"";""
